system_name,arch,cpu_clock,isa,ld_shared_by_cores,l2_shared_by_cores,l1_size,l2_size,l3_size,no_of_threads,num-cpus,mem_type,mem_clock,mem_size,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,768,,,,,,,,,,79.916425
ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,768,,,,,,,,,,67.302521
ASUS WS C621E SAGE Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,55.565507
ASUS WS C621E SAGE Server System (3.00 GHz- Intel Xeon Gold 6154),Intel Xeon Gold 6154,3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,69.383148
ASUS RS720Q-E9(Z11PH-D12) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,75.048009
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,62.967232
ASUS RS720Q-E9(Z11PH-D12) Server System (3.50 GHz- Intel Xeon Gold 6144),Intel Xeon Gold 6144,3.5,X86_64,1,1,32,1024,49152,16,16,PC4-2666V,2666,192,,,,,,,,,,130.275237
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 6148),Intel Xeon Gold 6148,2.4,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,75.10152
ASUS RS720Q-E9(Z11PH-D12) Server System (3.40 GHz- Intel Xeon Gold 6128),Intel Xeon Gold 6128,3.4,X86_64,1,1,32,1024,38912,24,12,PC4-2666V,2666,192,,,,,,,,,,155.090025
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Gold 6138),Intel Xeon Gold 6138,2,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,85.825179
ASUS RS720-E9(Z11PP-D24) Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,768,,,,,,,,,,54.721438
ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz- Intel Xeon Gold 6126),Intel Xeon Gold 6126,2.6,X86_64,1,1,32,1024,38912,24,24,PC4-2666V,2666,384,,,,,,,,,,104.906807
ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz- Intel Xeon Gold 6134),Intel Xeon Gold 6134,3.2,X86_64,1,1,32,1024,49152,32,16,PC4-2666V,2666,384,,,,,,,,,,114.893285
ASUS RS720Q-E9(Z11PH-D12) Server System (3.00 GHz- Intel Xeon Gold 6136),Intel Xeon Gold 6136,3,X86_64,1,1,32,1024,49152,24,24,PC4-2666V,2666,384,,,,,,,,,,96.351216
ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz- Intel Xeon Gold 6146),Intel Xeon Gold 6146,3.2,X86_64,1,1,32,1024,49152,24,24,PC4-2666V,2666,384,,,,,,,,,,89.32438
ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz- Intel Xeon Silver 4114),Intel Xeon Silver 4114,2.2,X86_64,1,1,32,1024,26624,20,20,PC4-2666V,2666,384,,,,,,,,,,162.322291
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 5115),Intel Xeon Gold 5115,2.4,X86_64,1,1,32,1024,26624,20,20,PC4-2666V,2666,384,,,,,,,,,,146.368245
ASUS RS720Q-E9(Z11PH-D12) Server System (2.30 GHz- Intel Xeon Gold 6140),Intel Xeon Gold 6140,2.3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,81.678604
ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz- Intel Xeon Gold 5120),Intel Xeon Gold 5120,2.2,X86_64,1,1,32,1024,38912,28,28,PC4-2666V,2666,384,,,,,,,,,,120.200658
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Gold 6130T),Intel Xeon Gold 6130T,2.1,X86_64,1,1,32,1024,45056,32,32,PC4-2666V,2666,384,,,,,,,,,,95.415443
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Platinum 8153),Intel Xeon Platinum 8153,2,X86_64,1,1,32,1024,45056,32,32,PC4-2666V,2666,384,,,,,,,,,,115.482304
ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz- Intel Xeon Gold 6132),Intel Xeon Gold 6132,2.6,X86_64,1,1,32,1024,38912,28,28,PC4-2666V,2666,384,,,,,,,,,,91.439298
ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz- Intel Xeon E-2186G),Intel Xeon E-2186G,3.8,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,241.577756
ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz- Intel Xeon E-2176G),Intel Xeon E-2176G,3.7,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,242.042255
ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz- Intel Xeon E-2136),Intel Xeon E-2136,3.3,X86_64,1,1,32,256,12288,12,6,PC4-2666V,2666,64,,,,,,,,,,248.14375
