feature,weight
intercept,-0.00045233371509418213
feature_1,-0.5780901418507026
feature_3,0.20226362596202146
feature_4,0.20725698957633673
feature_5,0.07016753959577775
feature_6,-749450010813.8761
feature_7,0.18966518418663048
feature_8,-9900212496.87231
feature_9,-34867455898.36759
feature_10,232975837434.41495
feature_11,374654130326.4076
feature_12,25023982546.011024
feature_13,155159714431.6739
feature_14,122732806461.25595
feature_15,25023982545.9505
feature_16,435635004332.88837
feature_17,54969701768.13526
feature_18,-4921736676.179764
feature_19,200523632205.6816
feature_20,57905191213.16407
feature_21,33557119211.584755
feature_22,684069976797.262
feature_23,-27928957976.556675
feature_24,292918802354.0503
feature_25,36746253095.23287
feature_26,61181779436.63967
feature_27,-59408032001.78485
feature_28,-82817903122.65782
feature_29,-17134898109.191357
feature_30,-21086724869.995296
feature_31,-33303752203.343025
feature_32,-13884447111.036829
feature_33,21800414425.677624
feature_34,283121620118.44763
feature_35,39996842157.08368
feature_36,-13884447111.021631
feature_37,-46071630027.62503
feature_38,21247147646.424248
feature_39,15029598755.574055
feature_40,11325879466.10598
feature_41,-0.2708814585835611
