feature,mean_importance
feature_36,0.0
feature_40,0.0
feature_15,0.0
feature_14,0.0
feature_31,0.0
feature_12,0.0
feature_35,0.0
feature_17,0.0
feature_18,0.0
feature_8,0.0
feature_39,0.0
feature_9,0.0
feature_5,0.01004341663848505
feature_7,0.06996045279610404
feature_4,0.0836358032191887
feature_3,0.0976899977551046
feature_41,0.14701650972077757
feature_1,0.661151280997258
feature_33,2.029781433682696e+20
feature_32,3.8786446018308814e+20
feature_29,7.846975121798096e+20
feature_30,1.7812505334078993e+21
feature_21,1.8084562876235055e+21
feature_38,1.8084562876258997e+21
feature_23,2.1971530341061003e+21
feature_25,3.2552213177156795e+21
feature_37,4.55124557064771e+21
feature_26,5.013327774274976e+21
feature_27,7.062277609623366e+21
feature_20,7.233825150483171e+21
feature_28,1.2869039199761956e+22
feature_13,4.858284940616458e+22
feature_19,8.210391545816758e+22
feature_10,1.1646458492306203e+23
feature_34,1.3715261281628961e+23
feature_24,2.1288383082621517e+23
feature_11,2.9378100757280733e+23
feature_16,4.3544419941638376e+23
feature_22,8.302222844719572e+23
feature_6,1.0631249794955717e+24
