feature,shap_importance
feature_6,539791867000.88654
feature_22,383470054220.0538
feature_11,308020076023.3278
feature_16,201044894897.17703
feature_10,201036191969.64584
feature_19,147603607820.71335
feature_34,117620340896.42285
feature_24,91855898213.41325
feature_28,36824148275.91365
feature_13,29191232636.49328
feature_27,19270768250.589714
feature_20,12433751915.733454
feature_37,12041014073.802395
feature_14,9999864502.229006
feature_26,7256520959.851191
feature_25,5442207644.791659
feature_23,5010657031.781553
feature_33,3827512179.6291647
feature_21,3814753205.561798
feature_31,2713479949.2617497
feature_38,2184043857.4517627
feature_30,2167553626.137633
feature_32,2136030944.6235318
feature_17,1999972900.4460804
feature_29,1796718268.1340818
feature_35,1455212559.7297077
feature_36,1432547699.3866692
feature_9,1268589143.8591964
feature_40,922795325.0249387
feature_12,910452219.0125674
feature_15,910452219.0103652
feature_39,546824691.5822033
feature_8,360201275.7122137
feature_18,179068462.42336842
feature_1,0.4932083820229612
feature_41,0.17471721602407064
feature_4,0.16292332934836198
feature_7,0.13775167536602964
feature_3,0.05912670798717092
feature_5,0.051907251602558505
