feature,mean_importance
feature_20,-0.0011545755329059478
feature_27,-0.00030590672656526373
feature_16,-0.0001691652402361306
feature_29,-8.744630057844899e-05
feature_17,0.0
feature_23,0.0
feature_22,0.0
feature_40,0.0
feature_18,0.0
feature_32,0.0
feature_15,0.0
feature_14,0.0
feature_12,0.0
feature_30,0.0
feature_31,0.0
feature_9,0.0
feature_8,0.0
feature_35,0.0
feature_36,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_13,0.0
feature_26,0.0
feature_24,3.4227915415178944e-06
feature_33,7.040686489400566e-06
feature_21,1.0888086309775863e-05
feature_28,1.5982450747710485e-05
feature_10,0.0003301697667888404
feature_25,0.0005078182232765092
feature_19,0.0006419434727758612
feature_34,0.0023821373723282497
feature_41,0.004946664652521927
feature_3,0.01881386767154441
feature_4,0.04371712051606551
feature_5,0.047167023853919875
feature_11,0.07783215322139247
feature_6,0.2477865317435218
feature_7,0.5094185921914429
feature_1,0.6977705204131442
