feature,shap_importance
feature_1,0.46238327
feature_7,0.37215558
feature_6,0.17389639
feature_11,0.099482514
feature_5,0.076057255
feature_4,0.07052735
feature_3,0.03221753
feature_41,0.017482873
feature_34,0.0057241
feature_10,0.003211644
feature_20,0.0022637958
feature_19,0.0021333364
feature_24,0.001752472
feature_27,0.0016456782
feature_25,0.0014103464
feature_16,0.0013328192
feature_33,0.0009254884
feature_21,0.00062151207
feature_14,0.00058535405
feature_28,0.0005814113
feature_12,0.0003336011
feature_38,0.00022335851
feature_29,0.00021131146
feature_36,0.00013488688
feature_15,5.218408e-05
feature_32,2.788241e-05
feature_13,2.0066174e-05
feature_18,9.704498e-06
feature_17,1.4460699e-06
feature_39,0.0
feature_37,0.0
feature_35,0.0
feature_40,0.0
feature_26,0.0
feature_31,0.0
feature_30,0.0
feature_9,0.0
feature_23,0.0
feature_8,0.0
feature_22,0.0
