feature,weight
intercept,-0.011548798653117486
feature_1,-0.22667396118345062
feature_3,0.2246971756354676
feature_4,0.4964115036360419
feature_5,-0.012787595633136264
feature_6,-396186300229.41724
feature_7,0.11551886488268923
feature_8,-5233609318.838295
feature_9,-18432194477.86185
feature_10,123159428572.82123
feature_11,198055682991.1459
feature_12,13228579516.76411
feature_13,82023019972.39006
feature_14,64880987133.25127
feature_15,13228579516.73409
feature_16,230292371908.21402
feature_17,29058966514.07656
feature_18,-2601807480.4863586
feature_19,106004022690.8143
feature_20,30610772085.85143
feature_21,17739503255.615997
feature_22,361624056701.4026
feature_23,-14764254280.140148
feature_24,154847441320.63757
feature_25,19425394423.90507
feature_26,32342894771.72073
feature_27,-31405227917.578247
feature_28,-43780529931.39145
feature_29,-9058125009.894938
feature_30,-11147203135.089851
feature_31,-17605564318.76659
feature_32,-7339819403.783242
feature_33,11524485169.298151
feature_34,149668297512.92365
feature_35,21143773015.42604
feature_36,-7339819403.752863
feature_37,-24355124935.15852
feature_38,11232008399.497814
feature_39,7945187856.407571
feature_40,5987268287.094307
feature_41,-0.0917774012088359
