feature,mean_importance
feature_39,0.0
feature_36,0.0
feature_35,0.0
feature_8,0.0
feature_9,0.0
feature_31,0.0
feature_40,0.0
feature_12,0.0
feature_18,0.0
feature_14,0.0
feature_15,0.0
feature_17,0.0
feature_5,0.0012767600431840553
feature_41,0.021127791032035503
feature_7,0.021392585308410365
feature_1,0.10402646593389946
feature_3,0.11621659780872791
feature_4,0.46850914495486773
feature_33,5.672347688171961e+19
feature_32,1.0839108277687083e+20
feature_29,2.1928849309624143e+20
feature_30,4.977812969175188e+20
feature_21,5.0538411043002096e+20
feature_38,5.0538411043355846e+20
feature_23,6.14007780674293e+20
feature_25,9.096913987735384e+20
feature_37,1.2718732599648398e+21
feature_26,1.4010049426369888e+21
feature_27,1.9735964378655637e+21
feature_20,2.0215364417185576e+21
feature_28,3.596331286772128e+21
feature_13,1.3576772796465052e+22
feature_19,2.294443861357418e+22
feature_10,3.254673671173325e+22
feature_34,3.832813195206108e+22
feature_24,5.949168149871046e+22
feature_11,8.209888963860735e+22
feature_16,1.2168753033793024e+23
feature_22,2.320106676458411e+23
feature_6,2.9709674251933234e+23
