feature,shap_importance
feature_6,285353445320.21356
feature_22,202716098256.21823
feature_11,162830519120.75754
feature_16,106279580946.00052
feature_10,106274980264.45609
feature_19,78028589551.10042
feature_34,62178353484.599434
feature_24,48558340039.10706
feature_28,19466572625.050735
feature_13,15431538182.007608
feature_27,10187222984.232464
feature_20,6572929612.88087
feature_37,6365314227.814762
feature_14,5286288962.260376
feature_26,3836058643.1832523
feature_25,2876947202.287252
feature_23,2648813986.898191
feature_33,2023360954.894933
feature_21,2016616101.1244695
feature_31,1434443346.8855762
feature_38,1154564337.764097
feature_30,1145847006.8596382
feature_32,1129182980.715642
feature_17,1057257792.4519956
feature_29,949810064.6183825
feature_35,769277832.7669231
feature_36,757296370.2971764
feature_9,670621965.6597232
feature_40,487822884.0007506
feature_12,481297873.08143586
feature_15,481297873.0803436
feature_39,289071249.9913837
feature_8,190415382.88399816
feature_18,94662046.28686917
feature_4,0.3902257533728285
feature_1,0.19339111593239725
feature_7,0.08390004334329564
feature_3,0.06568459467761621
feature_41,0.0591959749367102
feature_5,0.00945977225002947
