feature,shap_importance
feature_5,0.4138846
feature_1,0.17940076
feature_6,0.13420267
feature_7,0.06563755
feature_3,0.058023553
feature_4,0.053874124
feature_41,0.04674248
feature_19,0.017406289
feature_28,0.01529245
feature_24,0.013992341
feature_37,0.007082083
feature_23,0.005568758
feature_11,0.0037914026
feature_27,0.0028201218
feature_38,0.0021241186
feature_20,0.0017131148
feature_10,0.0015363633
feature_16,0.0014938025
feature_8,0.00087793457
feature_34,0.00053936307
feature_39,0.00051188935
feature_21,0.00037304236
feature_29,0.00033621487
feature_14,0.0003012804
feature_32,0.00029457608
feature_25,0.00020802833
feature_33,0.00014792568
feature_40,9.6646436e-05
feature_15,9.5401956e-05
feature_18,6.902539e-05
feature_36,5.4532902e-05
feature_12,3.6938098e-05
feature_26,2.7369098e-05
feature_17,2.6556409e-05
feature_13,2.4480221e-05
feature_9,0.0
feature_35,0.0
feature_31,0.0
feature_30,0.0
feature_22,0.0
