feature,mean_importance
feature_36,0.0
feature_40,0.0
feature_15,0.0
feature_14,0.0
feature_31,0.0
feature_12,0.0
feature_35,0.0
feature_17,0.0
feature_18,0.0
feature_8,0.0
feature_39,0.0
feature_9,0.0
feature_41,0.0013488382442771562
feature_7,0.01245514939809084
feature_4,0.017389587062015665
feature_3,0.017692791526061232
feature_5,0.055665895558351344
feature_1,0.07481206556934952
feature_33,2.2623344725166355e+20
feature_32,4.323022786559203e+20
feature_29,8.746006850148948e+20
feature_30,1.9853292670241538e+21
feature_38,2.0156519976173382e+21
feature_21,2.01565199762541e+21
feature_23,2.4488819180309205e+21
feature_25,3.628173595727915e+21
feature_37,5.072683973069189e+21
feature_26,5.587707157835661e+21
feature_27,7.87140616512185e+21
feature_20,8.062607990500735e+21
feature_28,1.4343451234237023e+22
feature_13,5.4149009918603395e+22
feature_19,9.151060069187243e+22
feature_10,1.2980798864695592e+23
feature_34,1.5286625388444652e+23
feature_24,2.3727403410408307e+23
feature_11,3.2743963944918106e+23
feature_16,4.853332515774542e+23
feature_22,9.253412524376339e+23
feature_6,1.1849277216729157e+24
