feature,shap_importance
feature_6,0.39376265
feature_1,0.17778714
feature_7,0.17519753
feature_4,0.123058304
feature_5,0.11631875
feature_19,0.109265104
feature_41,0.07767199
feature_24,0.0340551
feature_10,0.01795545
feature_11,0.016495088
feature_3,0.0146154575
feature_28,0.0074613043
feature_37,0.0038691405
feature_23,0.0021562707
feature_20,0.0017522877
feature_38,0.001720848
feature_27,0.0013881497
feature_25,0.0012730884
feature_21,0.00059903663
feature_33,0.0005052215
feature_32,0.00034966497
feature_8,0.00031522373
feature_29,0.00017872067
feature_34,0.00015395253
feature_40,0.00014664831
feature_12,0.00014537259
feature_15,0.0001436356
feature_16,0.00013898805
feature_36,6.638988e-05
feature_26,6.0055783e-05
feature_39,3.9358023e-05
feature_30,3.8636255e-05
feature_17,1.3901005e-05
feature_13,1.0023312e-05
feature_18,9.686414e-06
feature_14,1.7380193e-06
feature_31,7.9076614e-07
feature_9,0.0
feature_35,0.0
feature_22,0.0
