feature,mean_importance
feature_17,0.0
feature_39,0.0
feature_8,0.0
feature_9,0.0
feature_40,0.0
feature_35,0.0
feature_12,0.0
feature_18,0.0
feature_14,0.0
feature_15,0.0
feature_36,0.0
feature_31,0.0
feature_25,0.0006573781802419548
feature_38,0.0008371047633504658
feature_33,0.0018108159771626914
feature_26,0.0043066551399351645
feature_21,0.004802023743006747
feature_29,0.004961811207181049
feature_13,0.00536052593885242
feature_20,0.0063368344297560966
feature_32,0.0074517979075772985
feature_23,0.007945897192604332
feature_37,0.008042027589503925
feature_3,0.013400483001037073
feature_30,0.014579426327934016
feature_10,0.01958068060374101
feature_4,0.028046891769698358
feature_27,0.030086455107013566
feature_7,0.03524201131519274
feature_22,0.040934898604416244
feature_34,0.04182706451122916
feature_41,0.04734867553930721
feature_16,0.05834154795607168
feature_5,0.06454871879883249
feature_19,0.06532893436447301
feature_6,0.07304902974800145
feature_24,0.07928870040847862
feature_1,0.08943088210024422
feature_28,0.09593175383945915
feature_11,0.09653367357176297
