feature,mean_importance
feature_10,-0.0003181958637145904
feature_34,-0.00015614596561532856
feature_33,-1.0792136394377483e-06
feature_26,-1.1102230246251566e-17
feature_31,-5.551115123125783e-18
feature_39,-5.551115123125783e-18
feature_36,-5.551115123125783e-18
feature_25,-5.551115123125783e-18
feature_12,-5.551115123125783e-18
feature_35,-5.551115123125783e-18
feature_30,0.0
feature_29,0.0
feature_27,0.0
feature_40,0.0
feature_20,0.0
feature_18,0.0
feature_21,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_9,0.0
feature_8,0.0
feature_37,0.0
feature_38,0.0
feature_32,0.0
feature_17,0.0
feature_22,2.367365520578868e-05
feature_23,9.112185528220295e-05
feature_3,0.0012138982448657077
feature_11,0.0023384558633475854
feature_28,0.003554442786738743
feature_41,0.003964486675022127
feature_4,0.02279516199180291
feature_5,0.046179076335350296
feature_24,0.06559006113545643
feature_1,0.07186197749145432
feature_19,0.09329400090051507
feature_7,0.20914079234253116
feature_6,0.4704018023123364
