feature,shap_importance
feature_6,0.57319975
feature_1,0.38899577
feature_7,0.12926996
feature_24,0.059018157
feature_5,0.050893467
feature_41,0.039363094
feature_3,0.02846919
feature_4,0.028050682
feature_11,0.016173767
feature_10,0.00691781
feature_20,0.0054850304
feature_19,0.002612697
feature_25,0.001345271
feature_28,0.0012223686
feature_16,0.0011712433
feature_14,0.0010359949
feature_34,0.0010207304
feature_33,0.0004668372
feature_27,0.00044817827
feature_26,0.000436747
feature_21,0.00037350977
feature_15,0.000321369
feature_37,0.00020010443
feature_23,0.00018820574
feature_29,8.42164e-05
feature_8,5.9718022e-05
feature_38,5.848662e-05
feature_39,5.4442047e-05
feature_36,4.0066352e-05
feature_13,2.7450766e-05
feature_18,2.2515955e-05
feature_17,5.9310355e-06
feature_9,0.0
feature_30,0.0
feature_31,0.0
feature_32,0.0
feature_35,0.0
feature_12,0.0
feature_40,0.0
feature_22,0.0
