feature,mean_importance
feature_14,0.0
feature_40,0.0
feature_39,0.0
feature_31,0.0
feature_36,0.0
feature_8,0.0
feature_9,0.0
feature_35,0.0
feature_12,0.0
feature_18,0.0
feature_17,0.0
feature_15,0.0
feature_33,0.0007454445810568769
feature_38,0.0013845754839515029
feature_21,0.0027425023111441404
feature_29,0.003399752192557548
feature_25,0.003464409127948616
feature_23,0.004134983387873108
feature_30,0.008022036506296881
feature_20,0.008467622480045523
feature_32,0.00924900456756224
feature_37,0.009361467567566752
feature_3,0.00939290466982955
feature_26,0.011186197399956755
feature_13,0.013504192364687844
feature_41,0.018169677184586074
feature_5,0.0213764793183187
feature_19,0.02411429062056285
feature_24,0.025470070083343704
feature_7,0.026169259821443663
feature_27,0.026751421413663122
feature_10,0.04844760363982093
feature_28,0.06381204690355428
feature_22,0.07195818376397453
feature_34,0.08373776769826999
feature_11,0.0850116166218643
feature_4,0.09365051456742488
feature_6,0.0940356315542562
feature_16,0.1612578324622202
feature_1,0.3947149341759828
