feature,mean_importance
feature_5,-0.00022866683085764338
feature_33,-8.326672684688674e-18
feature_32,-8.326672684688674e-18
feature_29,-8.326672684688674e-18
feature_15,-8.326672684688674e-18
feature_22,-5.551115123125783e-18
feature_38,-5.551115123125783e-18
feature_40,-5.551115123125783e-18
feature_30,-5.551115123125783e-18
feature_35,-2.7755575615628915e-18
feature_19,-2.7755575615628915e-18
feature_28,-2.7755575615628915e-18
feature_17,-2.7755575615628915e-18
feature_13,-2.7755575615628915e-18
feature_23,-2.7755575615628915e-18
feature_37,-2.7755575615628915e-18
feature_10,-2.7755575615628915e-18
feature_8,-2.7755575615628915e-18
feature_39,-2.7755575615628915e-18
feature_14,-2.7755575615628915e-18
feature_26,-2.7755575615628915e-18
feature_31,0.0
feature_27,0.0
feature_21,0.0
feature_36,0.0
feature_20,0.0
feature_16,0.0
feature_12,0.0
feature_9,0.0
feature_25,0.0
feature_18,0.0
feature_34,0.00032762904486324795
feature_3,0.0018875179105175526
feature_4,0.0022931704048104436
feature_41,0.013113453439487771
feature_11,0.016366998350279882
feature_24,0.030842969430934862
feature_7,0.2578682695487935
feature_1,0.43322931730686076
feature_6,0.9278412730603632
