feature,shap_importance
feature_6,0.4559940750725984
feature_1,0.34083078590954397
feature_7,0.2368595868247892
feature_11,0.04638804875903701
feature_41,0.029266624631655826
feature_24,0.027957606782057356
feature_4,0.0036286604222196196
feature_3,0.0028466614871853493
feature_5,0.0016653258284985584
feature_34,0.0015945360562807178
feature_10,0.0
feature_27,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_30,0.0
feature_29,0.0
feature_28,0.0
feature_26,0.0
feature_12,0.0
feature_25,0.0
feature_8,0.0
feature_23,0.0
feature_9,0.0
feature_21,0.0
feature_20,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_22,0.0
