feature,weight
intercept,-0.00320506103973346
feature_1,-0.1364958902547851
feature_3,0.29027775336268324
feature_4,0.37234846932186066
feature_5,-0.16983355421110877
feature_6,977029058343.9668
feature_7,-0.014204079555541784
feature_8,12906524989.930702
feature_9,45455356743.92522
feature_10,-303721608888.10547
feature_11,-488422132065.463
feature_12,-32622800387.157593
feature_13,-202275732199.56668
feature_14,-160002023610.21866
feature_15,-32622800387.16366
feature_16,-567920544298.1432
feature_17,-71661878952.69516
feature_18,6416278178.414355
feature_19,-261414921239.1648
feature_20,-75488763263.71085
feature_21,-43747121370.343666
feature_22,-891795630967.4563
feature_23,36409904755.187454
feature_24,-381866939096.2844
feature_25,-47904672148.02059
feature_26,-79760324889.43925
feature_27,77447958806.61322
feature_28,107966504416.48814
feature_29,22338105441.33674
feature_30,27489949491.100006
feature_31,43416816579.11738
feature_32,18100617907.68883
feature_33,-28420359023.951492
feature_34,-369094730682.8471
feature_35,-52142339669.91119
feature_36,18100617907.694515
feature_37,60061806195.22953
feature_38,-27699086474.002445
feature_39,-19593507915.901638
feature_40,-14765112002.152466
feature_41,0.05263646541988782
