feature,mean_importance
feature_7,-8.506285870502617e-05
feature_39,0.0
feature_36,0.0
feature_35,0.0
feature_31,0.0
feature_8,0.0
feature_9,0.0
feature_40,0.0
feature_18,0.0
feature_12,0.0
feature_17,0.0
feature_14,0.0
feature_15,0.0
feature_41,0.006265843898609453
feature_1,0.04422192777281335
feature_5,0.05393574405628271
feature_3,0.20197154199782497
feature_4,0.26599740414719497
feature_33,3.4496806790079565e+20
feature_32,6.591884782224465e+20
feature_29,1.3336193748510525e+21
feature_30,3.0272941941681207e+21
feature_38,3.073531273227554e+21
feature_21,3.073531273235139e+21
feature_23,3.7341342495683746e+21
feature_25,5.532356291829103e+21
feature_37,7.734992374110393e+21
feature_26,8.520316361910266e+21
feature_27,1.2002574373627072e+22
feature_20,1.229412509293807e+22
feature_28,2.187135774751119e+22
feature_13,8.256815938250592e+22
feature_19,1.3953831980456023e+23
feature_10,1.979354139962637e+23
feature_34,2.330954016317319e+23
feature_24,3.618031113532057e+23
feature_11,4.9929053880811484e+23
feature_16,7.400518186780133e+23
feature_22,1.4109902310179937e+24
feature_6,1.806816064170445e+24
