feature,shap_importance
feature_7,0.42550779005524125
feature_6,0.24520935384465614
feature_5,0.10227484921689477
feature_19,0.0974563532535616
feature_3,0.08205031389816089
feature_1,0.06359536160101299
feature_4,0.03655988965461058
feature_24,0.01804328650591603
feature_41,0.0064836684060820896
feature_10,0.003948612653721609
feature_11,0.003529813245187073
feature_34,0.00033183658395205534
feature_22,0.00017220197340505708
feature_31,0.00016135522614365774
feature_16,6.0173284510922845e-05
feature_15,0.0
feature_29,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_13,0.0
feature_33,0.0
feature_32,0.0
feature_30,0.0
feature_28,0.0
feature_27,0.0
feature_12,0.0
feature_25,0.0
feature_8,0.0
feature_23,0.0
feature_9,0.0
feature_21,0.0
feature_20,0.0
feature_14,0.0
feature_18,0.0
feature_17,0.0
feature_26,0.0
