feature,weight
intercept,-0.008044521571861647
feature_1,-0.49079540614580736
feature_3,0.13477711592419336
feature_4,0.26617768578046913
feature_5,-0.04694959848591168
feature_6,-883408768230.6362
feature_7,0.1822766726757024
feature_8,-11669803723.913673
feature_9,-41099760920.76116
feature_10,274618579766.05594
feature_11,441620840627.80035
feature_12,29496838052.185207
feature_13,182893388788.2301
feature_14,144670406048.4272
feature_15,29496838052.13153
feature_16,513501603873.4587
feature_17,64795137538.61262
feature_18,-5801461434.275797
feature_19,236365778066.45825
feature_20,68255324445.4849
feature_21,39555211048.52448
feature_22,806342527008.4897
feature_23,-32921056785.657207
feature_24,345275915198.386
feature_25,43314379499.03636
feature_26,72117579065.2146
feature_27,-70026787132.43184
feature_28,-97621003041.3395
feature_29,-20197636952.39915
feature_30,-24855824103.849327
feature_31,-39256556523.95774
feature_32,-16366191397.609608
feature_33,25697080494.8076
feature_34,333727557648.2056
feature_35,47145987795.40972
feature_36,-16366191397.48487
feature_37,-54306599967.71973
feature_38,25044921288.848446
feature_39,17716030598.572136
feature_40,13350298330.670105
feature_41,-0.18852742144138465
