feature,mean_importance
feature_36,0.0
feature_40,0.0
feature_15,0.0
feature_14,0.0
feature_31,0.0
feature_12,0.0
feature_35,0.0
feature_17,0.0
feature_18,0.0
feature_8,0.0
feature_39,0.0
feature_9,0.0
feature_5,0.006445489971383287
feature_3,0.04040231451431496
feature_7,0.06497537065139326
feature_41,0.07672859285703577
feature_4,0.13464728093464576
feature_1,0.48318626060641573
feature_33,2.820248301459553e+20
feature_32,5.3891225275463526e+20
feature_29,1.0902857761689254e+21
feature_30,2.47493090041353e+21
feature_21,2.512731513247667e+21
feature_38,2.512731513258156e+21
feature_23,3.052800173280187e+21
feature_25,4.5229167238407384e+21
feature_37,6.323657501792895e+21
feature_26,6.965690445983904e+21
feature_27,9.812571985528417e+21
feature_20,1.0050926052983345e+22
feature_28,1.7880686729206157e+22
feature_13,6.750268587736926e+22
feature_19,1.140780107016228e+23
feature_10,1.6181990945332544e+23
feature_34,1.9056456863607507e+23
feature_24,2.957881338019132e+23
feature_11,4.081894601347552e+23
feature_16,6.050211827754797e+23
feature_22,1.1535394642785128e+24
feature_6,1.47714249815363e+24
