feature,mean_importance
feature_20,-0.0010648896806028172
feature_29,-0.0001417856524431639
feature_34,-3.83347652012686e-05
feature_31,0.0
feature_26,0.0
feature_35,0.0
feature_22,0.0
feature_40,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_18,0.0
feature_12,0.0
feature_39,0.0
feature_36,0.0
feature_8,0.0
feature_9,0.0
feature_37,4.626337849183426e-05
feature_13,6.410869822145518e-05
feature_23,8.186770806797236e-05
feature_32,9.25316013320708e-05
feature_30,0.00011650983712670829
feature_33,0.00011837423026476723
feature_28,0.00019707611508476135
feature_21,0.00026285143397090303
feature_10,0.0003662342760322269
feature_38,0.0007855252031757555
feature_25,0.0010237069356375326
feature_16,0.0014493031062187967
feature_27,0.002295073457957309
feature_11,0.003834814019081358
feature_19,0.00409904712118545
feature_3,0.006365213857265936
feature_41,0.010031193080152314
feature_4,0.02449948068212717
feature_24,0.045370888365254845
feature_7,0.08314104280535946
feature_5,0.10529837399407574
feature_1,0.4774510175569532
feature_6,0.6863564386885522
