feature,shap_importance
feature_6,0.43773285
feature_1,0.39744046
feature_5,0.16144212
feature_7,0.103144124
feature_24,0.040029995
feature_4,0.035566583
feature_41,0.026334427
feature_3,0.017938517
feature_19,0.011674792
feature_11,0.010189206
feature_36,0.0076238746
feature_27,0.006889762
feature_16,0.0068582916
feature_10,0.004607361
feature_34,0.002351166
feature_25,0.0020063228
feature_38,0.0014239057
feature_20,0.0013796082
feature_28,0.0010308938
feature_21,0.0008598756
feature_23,0.0007796769
feature_32,0.0007683152
feature_14,0.00070102996
feature_29,0.0006001274
feature_39,0.00056510465
feature_33,0.00042675063
feature_13,0.00028712166
feature_37,0.00023857492
feature_15,0.00023356632
feature_40,0.00014673086
feature_30,0.00013646332
feature_8,0.000125581
feature_31,0.00010630184
feature_17,4.205864e-05
feature_12,3.8299077e-05
feature_9,0.0
feature_35,0.0
feature_26,0.0
feature_18,0.0
feature_22,0.0
