feature,mean_importance
feature_34,-1.3877787807814457e-17
feature_28,-1.1102230246251566e-17
feature_26,-1.1102230246251566e-17
feature_33,-1.1102230246251566e-17
feature_23,-1.1102230246251566e-17
feature_14,-1.1102230246251566e-17
feature_18,-1.1102230246251566e-17
feature_21,-8.326672684688674e-18
feature_30,-8.326672684688674e-18
feature_39,-8.326672684688674e-18
feature_37,-8.326672684688674e-18
feature_35,-8.326672684688674e-18
feature_20,-8.326672684688674e-18
feature_19,-8.326672684688674e-18
feature_29,-5.551115123125783e-18
feature_27,-5.551115123125783e-18
feature_17,-5.551115123125783e-18
feature_15,-5.551115123125783e-18
feature_36,-5.551115123125783e-18
feature_32,-5.551115123125783e-18
feature_40,-2.7755575615628915e-18
feature_13,-2.7755575615628915e-18
feature_12,-2.7755575615628915e-18
feature_25,-2.7755575615628915e-18
feature_9,-2.7755575615628915e-18
feature_8,-2.7755575615628915e-18
feature_38,-2.7755575615628915e-18
feature_31,-2.7755575615628915e-18
feature_3,0.00055988537613689
feature_22,0.0016357479544285348
feature_16,0.0018812512597969123
feature_41,0.0030994341143388837
feature_10,0.004994871760711864
feature_11,0.007384173926211854
feature_4,0.01079930129535209
feature_24,0.014566111018329714
feature_5,0.060039600965704244
feature_7,0.1706399959804013
feature_1,0.4861066951480854
feature_6,0.4864876408086777
