feature,shap_importance
feature_1,0.3431419437599188
feature_6,0.3191705438295033
feature_7,0.20633320314616677
feature_5,0.1076366734555127
feature_4,0.021210147346239716
feature_24,0.016186181878644818
feature_11,0.01594039793407348
feature_22,0.012846292159986292
feature_10,0.011012853589708986
feature_41,0.00703343015750519
feature_36,0.006044333215913007
feature_16,0.003794738881232434
feature_3,0.0018374215066330828
feature_12,0.0
feature_28,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_35,0.0
feature_34,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_30,0.0
feature_29,0.0
feature_27,0.0
feature_13,0.0
feature_9,0.0
feature_25,0.0
feature_8,0.0
feature_23,0.0
feature_21,0.0
feature_20,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_15,0.0
feature_14,0.0
feature_26,0.0
