feature,weight
intercept,-0.007305780807261991
feature_1,-0.35671044976396116
feature_3,0.24638760829131492
feature_4,0.45288316285702446
feature_5,-0.25598177480092754
feature_6,-288250715888.00446
feature_7,0.27779620278163786
feature_8,-3807783439.141273
feature_9,-13410593073.377314
feature_10,89606312570.44623
feature_11,144098098230.00714
feature_12,9624632436.013515
feature_13,59676960593.114685
feature_14,47205042117.4064
feature_15,9624632435.974356
feature_16,167552338451.8917
feature_17,21142245190.69315
feature_18,-1892980318.6533134
feature_19,77124664356.02739
feature_20,22271282380.320625
feature_21,12906616180.23301
feature_22,263104486869.0999
feature_23,-10741933437.19678
feature_24,112661356004.11174
feature_25,14133209164.10309
feature_26,23531511731.827774
feature_27,-22849299495.237907
feature_28,-31853118311.671734
feature_29,-6590361699.009348
feature_30,-8110298821.486488
feature_31,-12809167090.226765
feature_32,-5340185151.308555
feature_33,8384795482.240145
feature_34,108893199686.173
feature_35,15383438813.362411
feature_36,-5340185151.278302
feature_37,-17719901455.48069
feature_38,8172000041.735748
feature_39,5780629179.105756
feature_40,4356118242.771223
feature_41,-0.05755163612714154
