feature,mean_importance
feature_39,0.0
feature_36,0.0
feature_8,0.0
feature_9,0.0
feature_35,0.0
feature_31,0.0
feature_12,0.0
feature_40,0.0
feature_14,0.0
feature_15,0.0
feature_18,0.0
feature_17,0.0
feature_41,0.009166048751170339
feature_3,0.14014306500773283
feature_7,0.14164852829436833
feature_5,0.14765132529765274
feature_1,0.25868281571157226
feature_4,0.4129090913385477
feature_33,3.002650084751927e+19
feature_32,5.737668277413808e+19
feature_29,1.1608008686679074e+20
feature_30,2.6349990084293788e+20
feature_21,2.6752444057351094e+20
feature_38,2.675244405746684e+20
feature_23,3.2502424322841575e+20
feature_25,4.8154399303065475e+20
feature_37,6.732645038260541e+20
feature_26,7.416201969640494e+20
feature_27,1.0447207817976735e+21
feature_20,1.0700977622914458e+21
feature_28,1.9037134246091154e+21
feature_13,7.186847532807862e+21
feature_19,1.2145609602077599e+22
feature_10,1.7228573972972435e+22
feature_34,2.0288948241692296e+22
feature_24,3.149184646541252e+22
feature_11,4.345894354208799e+22
feature_16,6.441514049717222e+22
feature_22,1.2281455389672718e+23
feature_6,1.5726778542973584e+23
