feature,shap_importance
feature_5,0.46887
feature_1,0.31332028
feature_6,0.21208611
feature_3,0.07084392
feature_7,0.031541377
feature_41,0.029534379
feature_4,0.019003341
feature_24,0.013531335
feature_19,0.010953008
feature_28,0.0048001036
feature_11,0.0045907
feature_10,0.0026291811
feature_20,0.0022666312
feature_16,0.0021646246
feature_34,0.0019083382
feature_37,0.0014921826
feature_23,0.0013415755
feature_38,0.0010416822
feature_27,0.0009222529
feature_21,0.00073122815
feature_14,0.00057705416
feature_26,0.0004942433
feature_32,0.00039684703
feature_25,0.00035139476
feature_33,0.00021928472
feature_15,0.00019681068
feature_8,0.00018941604
feature_13,0.00017683787
feature_29,0.00016423315
feature_30,0.00015440036
feature_40,0.00012482412
feature_39,7.589742e-05
feature_12,5.2483487e-05
feature_36,3.7912505e-05
feature_18,3.613754e-05
feature_17,8.427539e-06
feature_31,0.0
feature_9,0.0
feature_35,0.0
feature_22,0.0
