feature,shap_importance
feature_5,0.34952156813544855
feature_1,0.23881109198983874
feature_6,0.17161496273510685
feature_7,0.054318183126631524
feature_3,0.030033830225879236
feature_4,0.021587823325912088
feature_41,0.012839857587909051
feature_28,0.007197358968688434
feature_11,0.005998082010874835
feature_10,0.003811710672356029
feature_19,0.0010323024834571818
feature_27,0.0004317802827622965
feature_23,0.00023622345610222723
feature_37,0.00016015196235692587
feature_32,0.0001235490760246123
feature_29,0.0
feature_30,0.0
feature_31,0.0
feature_9,0.0
feature_33,0.0
feature_35,0.0
feature_36,0.0
feature_38,0.0
feature_39,0.0
feature_40,0.0
feature_34,0.0
feature_25,0.0
feature_26,0.0
feature_24,0.0
feature_8,0.0
feature_21,0.0
feature_20,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_22,0.0
