feature,weight
intercept,-0.00212134793154641
feature_1,-0.49443851590512633
feature_3,0.24567504402664586
feature_4,0.22400044167879812
feature_5,-0.02701823277052701
feature_6,-711065206867.4952
feature_7,0.16115506133321797
feature_8,-9393150370.992548
feature_9,-33081639046.73289
feature_10,221043444726.23087
feature_11,355465358383.19727
feature_12,23742321794.622368
feature_13,147212853222.90573
feature_14,116446763835.54803
feature_15,23742321794.565155
feature_16,413322956841.7235
feature_17,52154302215.23987
feature_18,-4669658626.053138
feature_19,190253353737.80338
feature_20,54939443824.89702
feature_21,31838414263.471516
feature_22,649033761484.6191
feature_23,-26498512235.1451
feature_24,277916292996.0949
feature_25,34864209329.16994
feature_26,58048214055.50673
feature_27,-56365313170.1852
feature_28,-78576193964.23936
feature_29,-16257294940.09057
feature_30,-20006719815.16661
feature_31,-31598024028.573566
feature_32,-13173323256.767706
feature_33,20683856120.789803
feature_34,268620895954.82635
feature_35,37948312004.943375
feature_36,-13173323256.746538
feature_37,-43711965659.62974
feature_38,20158926170.595196
feature_39,14259823329.195906
feature_40,10745798531.3569
feature_41,-0.18596035976679856
