feature,shap_importance
feature_6,512145186518.2497
feature_22,363829754482.72687
feature_11,292244120243.54626
feature_16,190747918763.0592
feature_10,190739661575.9522
feature_19,140043749970.0073
feature_34,111596144939.02269
feature_24,87151287374.31642
feature_28,34938114929.21608
feature_13,27696136598.679745
feature_27,18283771585.66568
feature_20,11796928748.451277
feature_37,11424305877.295246
feature_14,9487698469.977816
feature_26,6884861569.152957
feature_25,5163472478.380124
feature_23,4754024721.374476
feature_33,3631477350.7595577
feature_21,3619371856.8563204
feature_31,2574502840.230079
feature_38,2072183034.0893612
feature_30,2056537387.8515298
feature_32,2026629212.88505
feature_17,1897539693.9959264
feature_29,1704695214.5945961
feature_35,1380680505.5572355
feature_36,1359176478.1003644
feature_9,1203615436.6432755
feature_40,875532242.6016724
feature_12,863821317.1176518
feature_15,863821317.1155703
feature_39,518817808.83287656
feature_8,341752739.9191751
feature_18,169897059.76273432
feature_1,0.42183943780584493
feature_4,0.1760852447409095
feature_41,0.11994352259908195
feature_7,0.11704509600729805
feature_3,0.07181694938380245
feature_5,0.01998705119711262
