feature,shap_importance
feature_1,0.3955223
feature_7,0.39211908
feature_6,0.21866052
feature_5,0.103693336
feature_11,0.06390003
feature_3,0.055109404
feature_4,0.05248088
feature_41,0.033508055
feature_19,0.01070029
feature_10,0.008217688
feature_20,0.00381552
feature_25,0.0027611305
feature_16,0.0025951397
feature_24,0.0020537297
feature_28,0.0012670953
feature_26,0.0011338083
feature_21,0.0010230232
feature_34,0.00096695614
feature_36,0.000810009
feature_14,0.00064550247
feature_38,0.0004630934
feature_27,0.0003932164
feature_23,0.00033872217
feature_37,0.00023185839
feature_32,0.00013988168
feature_29,0.00013083933
feature_33,0.00011637524
feature_13,0.00010740003
feature_15,9.3965646e-05
feature_40,9.043873e-05
feature_17,6.9393325e-05
feature_31,5.470975e-05
feature_18,4.533968e-05
feature_12,4.214022e-05
feature_8,2.7967475e-05
feature_39,0.0
feature_30,0.0
feature_35,0.0
feature_9,0.0
feature_22,0.0
