feature,shap_importance
feature_7,0.37875123631360047
feature_1,0.3257551825780811
feature_6,0.23192087709997392
feature_11,0.05392544261102913
feature_5,0.045591885927701054
feature_4,0.027746209854487665
feature_3,0.013910732830405434
feature_22,0.011169332937551879
feature_24,0.0031296086160396354
feature_41,0.002329665699803848
feature_34,0.0013413178174883208
feature_19,0.0007241451707201872
feature_16,0.0006625797455662002
feature_20,0.00027949726202310517
feature_26,0.00023739141565379333
feature_28,0.00012456002504644245
feature_17,0.0
feature_30,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_12,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_29,0.0
feature_18,0.0
feature_27,0.0
feature_9,0.0
feature_25,0.0
feature_13,0.0
feature_23,0.0
feature_8,0.0
feature_21,0.0
feature_14,0.0
feature_15,0.0
feature_10,0.0
