feature,weight
intercept,-0.0050023992082128136
feature_1,-0.44702144464231847
feature_3,0.07406436553614582
feature_4,0.07925161849410511
feature_5,0.048466203469345236
feature_6,-735969031034.7338
feature_7,0.14054928247216186
feature_8,-9722129152.355844
feature_9,-34240266010.946247
feature_10,228785107554.87427
feature_11,367914915325.7403
feature_12,24573855388.98149
feature_13,152368727784.64413
feature_14,120525109539.14975
feature_15,24573855388.92556
feature_16,427798875705.52264
feature_17,53980916088.88223
feature_18,-4833205310.958869
feature_19,196916647093.9026
feature_20,56863602447.2784
feature_21,32953499438.39424
feature_22,671765041989.483
feature_23,-27426576613.82791
feature_24,287649828580.6319
feature_25,36085267722.237366
feature_26,60081251957.12032
feature_27,-58339410390.45767
feature_28,-81328188716.98824
feature_29,-16826678465.968155
feature_30,-20707420436.750366
feature_31,-32704689952.92875
feature_32,-13634696029.46665
feature_33,21408272265.675476
feature_34,278028876398.63367
feature_35,39277385738.95576
feature_36,-13634696029.444618
feature_37,-45242901354.849014
feature_38,20864957555.48478
feature_39,14759248880.34795
feature_40,11122151465.757877
feature_41,-0.19442740802845063
