feature,mean_importance
feature_36,0.0
feature_40,0.0
feature_15,0.0
feature_14,0.0
feature_31,0.0
feature_12,0.0
feature_35,0.0
feature_17,0.0
feature_18,0.0
feature_8,0.0
feature_39,0.0
feature_9,0.0
feature_5,0.004402213533202431
feature_4,0.011075064903861455
feature_3,0.012237980455947938
feature_7,0.038966067621610666
feature_41,0.07649122564912367
feature_1,0.39179953187218974
feature_33,1.9574154650658324e+20
feature_32,3.740362780487909e+20
feature_29,7.567213987905643e+20
feature_30,1.7177452130492358e+21
feature_21,1.743981025024327e+21
feature_38,1.7439810250273663e+21
feature_23,2.1188199166242864e+21
feature_25,3.139165845039199e+21
feature_37,4.388984113008037e+21
feature_26,4.83459211616445e+21
feature_27,6.810492589128539e+21
feature_20,6.975924100091952e+21
feature_28,1.24102309401796e+22
feature_13,4.685076884958813e+22
feature_19,7.917673853619842e+22
feature_10,1.123123780116763e+23
feature_34,1.3226283428644473e+23
feature_24,2.05294075414763e+23
feature_11,2.8330709800734426e+23
feature_16,4.199196997111315e+23
feature_22,8.006231173964479e+23
feature_6,1.0252223424805467e+24
