feature,mean_importance
feature_17,5.551115123125783e-18
feature_29,8.326672684688674e-18
feature_39,8.326672684688674e-18
feature_38,8.326672684688674e-18
feature_36,8.326672684688674e-18
feature_27,8.326672684688674e-18
feature_9,8.326672684688674e-18
feature_33,8.326672684688674e-18
feature_12,8.326672684688674e-18
feature_13,8.326672684688674e-18
feature_30,8.326672684688674e-18
feature_21,1.1102230246251566e-17
feature_26,1.1102230246251566e-17
feature_32,1.1102230246251566e-17
feature_18,1.1102230246251566e-17
feature_31,1.1102230246251566e-17
feature_10,1.1102230246251566e-17
feature_8,1.1102230246251566e-17
feature_3,1.1102230246251566e-17
feature_15,1.1102230246251566e-17
feature_14,1.3877787807814457e-17
feature_19,1.3877787807814457e-17
feature_40,1.3877787807814457e-17
feature_25,1.3877787807814457e-17
feature_35,1.6653345369377347e-17
feature_23,4.7170113108135905e-05
feature_20,0.0003090404366463295
feature_28,0.0004355893783616893
feature_16,0.0009134872119558434
feature_34,0.0012667427286881527
feature_41,0.002137467649174632
feature_37,0.002377978857893634
feature_22,0.002912596552642979
feature_4,0.0061992668415434245
feature_24,0.00785797575287154
feature_11,0.008231361876033846
feature_5,0.0680392799861519
feature_7,0.27542461107267885
feature_1,0.3438927951860048
feature_6,0.4694277009580734
