system_name,arch,cpu_clock,isa,ld_shared_by_cores,l2_shared_by_cores,l1_size,l2_size,l3_size,no_of_threads,num-cpus,mem_type,mem_clock,mem_size,bus_speed_qpi,bus_speed_dmi,l1_ins_assoc,l1_data_assoc,l2_assoc,l3_assoc,raw_bus_speed,converted_bus_speed,ddr_type,runtime
ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,768,,,,,,,,,,422.819657
ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,407.499476
ASUS WS C621E SAGE Server System (2.50 GHz- Intel Xeon Platinum 8180),Intel Xeon Platinum 8180,2.5,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,389.010542
ASUS WS C621E SAGE Server System (3.00 GHz- Intel Xeon Gold 6154),Intel Xeon Gold 6154,3,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,410.465742
ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz- Intel Xeon Platinum 8176),Intel Xeon Platinum 8176,2.1,X86_64,1,1,32,1024,77824,56,56,PC4-2666V,2666,384,,,,,,,,,,396.789693
ASUS RS720Q-E9(Z11PH-D12) Server System (2.70 GHz- Intel Xeon Gold 6150),Intel Xeon Gold 6150,2.7,X86_64,1,1,32,1024,49152,36,36,PC4-2666V,2666,384,,,,,,,,,,404.096833
ASUS RS720Q-E9(Z11PH-D12) Server System (3.50 GHz- Intel Xeon Gold 6144),Intel Xeon Gold 6144,3.5,X86_64,1,1,32,1024,49152,16,16,PC4-2666V,2666,192,,,,,,,,,,377.308574
ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz- Intel Xeon Gold 6148),Intel Xeon Gold 6148,2.4,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,401.99552
ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz- Intel Xeon Gold 6138),Intel Xeon Gold 6138,2,X86_64,1,1,32,1024,55296,40,40,PC4-2666V,2666,192,,,,,,,,,,410.080173
ASUS RS720Q-E9(Z11PH-D12) Server System (3.40 GHz- Intel Xeon Gold 6128),Intel Xeon Gold 6128,3.4,X86_64,1,1,32,1024,38912,24,12,PC4-2666V,2666,192,,,,,,,,,,423.15946
