feature,shap_importance
feature_8,765520510098.5735
feature_9,565304726032.553
feature_6,547815969211.4348
feature_17,538326211129.9184
feature_26,256892385470.6694
feature_25,196793072917.07318
feature_32,110657224672.62224
feature_20,96476732517.78964
feature_11,92024302409.5432
feature_31,81378385952.10754
feature_37,78044390563.28693
feature_14,69088417911.32407
feature_36,50317079705.29269
feature_22,45611449791.51227
feature_18,40701153157.77817
feature_21,36501086954.81537
feature_29,35600141730.27744
feature_23,22480115883.243793
feature_40,18832780609.71746
feature_30,18708125915.22348
feature_24,17373086260.974003
feature_19,14335146360.329971
feature_28,11901085275.508013
feature_27,11306295178.149164
feature_16,10667251705.469084
feature_39,8204205664.901272
feature_12,6535167306.108083
feature_38,6166482380.623253
feature_15,3972298893.3524766
feature_10,3492735186.8837748
feature_13,3492735186.881663
feature_35,2826573794.537352
feature_33,820145770.4227475
feature_1,0.5423558886212176
feature_7,0.2738664160962514
feature_5,0.19633760828751773
feature_4,0.17731261814104368
feature_41,0.08343704855862989
feature_3,0.058362643316641774
