feature,mean_importance
feature_22,-0.0005879374992292415
feature_25,-3.30886140619574e-05
feature_23,-1.774079209957424e-05
feature_37,-2.935316293969925e-06
feature_21,0.0
feature_30,0.0
feature_28,0.0
feature_27,0.0
feature_24,0.0
feature_40,0.0
feature_20,0.0
feature_19,0.0
feature_33,0.0
feature_16,0.0
feature_35,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_15,0.0
feature_38,0.0
feature_39,0.0
feature_29,5.551123827268744e-06
feature_36,1.4026733473360142e-05
feature_26,2.4655756763185266e-05
feature_11,2.964857347167449e-05
feature_31,6.396579332421382e-05
feature_14,0.00018455745111016915
feature_32,0.0004926192150588732
feature_8,0.0015580209626578773
feature_17,0.00167626071095969
feature_18,0.002729366080295502
feature_3,0.02022100458556294
feature_9,0.02802285339494447
feature_41,0.032909532837014144
feature_4,0.05041170122360481
feature_6,0.1253612491802806
feature_5,0.15314437737686365
feature_7,0.2295946124198128
feature_1,0.9135436966056967
