feature,shap_importance
feature_1,0.4136819174578653
feature_7,0.2801628811797334
feature_6,0.15821797594841858
feature_5,0.11966226898383203
feature_41,0.060544688448323135
feature_4,0.023350567932314943
feature_9,0.02237210840247408
feature_20,0.015774430370371656
feature_3,0.0036576496287145065
feature_22,0.0032800657940232755
feature_8,0.003065400567673538
feature_17,0.0011919126584691595
feature_18,0.0002458206397598771
feature_36,0.0
feature_35,0.0
feature_33,0.0
feature_28,0.0
feature_32,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_31,0.0
feature_40,0.0
feature_30,0.0
feature_29,0.0
feature_24,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_23,0.0
feature_19,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_11,0.0
feature_10,0.0
feature_21,0.0
