feature,weight
intercept,-1707234476.8371365
feature_1,-0.31396349187331335
feature_3,0.1925722440847097
feature_4,0.34050187459267817
feature_5,-0.236688970561145
feature_6,703878674708.5941
feature_7,0.17192518085892255
feature_8,946157560974.3348
feature_9,782792487535.7654
feature_10,73136882133.16582
feature_11,247413173053.42358
feature_12,59405192549.15015
feature_13,73136882133.14328
feature_14,181187582590.59235
feature_15,-39262736355.38843
feature_16,111926525592.97552
feature_17,817901461573.687
feature_18,226765206902.33063
feature_19,135961565891.15627
feature_20,164178450934.30536
feature_21,250476557407.17285
feature_22,133802009247.193
feature_23,160755446970.8835
feature_24,126493736712.73439
feature_25,534572987312.8328
feature_26,687508926151.3735
feature_27,167287044268.65216
feature_28,124872569097.68645
feature_29,215973082491.13757
feature_30,209017043929.18616
feature_31,318681880139.91864
feature_32,295931314342.9781
feature_33,24295931728.652264
feature_35,83734192645.6407
feature_36,261636721014.56046
feature_37,353068683941.2833
feature_38,105391553581.38153
feature_39,86082925637.8851
feature_40,171191479261.82443
feature_41,0.012035765198553369
