feature,mean_importance
feature_15,-7.631402062663608e+21
feature_3,-295698432.0
feature_41,-216426086.4
feature_38,0.0
feature_35,0.0
feature_33,0.0
feature_10,0.0
feature_30,0.0
feature_27,0.0
feature_13,0.0
feature_7,874092953.6
feature_5,1499463680.0
feature_4,3934257152.0
feature_1,7900810444.8
feature_12,4.7223408432431387e+21
feature_19,2.966249726649182e+22
feature_39,2.966249726651615e+22
feature_40,3.921685870025976e+22
feature_24,4.282294725646474e+22
feature_16,5.014639523354134e+22
feature_22,5.761255828778634e+22
feature_23,5.932499453297074e+22
feature_28,6.24177008905775e+22
feature_20,6.402102287228072e+22
feature_14,7.083511264858965e+22
feature_18,8.898749179946833e+22
feature_21,1.1218269860225558e+23
feature_11,1.1997130500064245e+23
feature_29,1.8725310267173195e+23
feature_36,1.90556301887474e+23
feature_32,2.091685421662803e+23
feature_31,2.5908491418825376e+23
feature_37,2.8045674650563268e+23
feature_26,6.506596518932476e+23
feature_25,8.131214527796134e+23
feature_9,9.839490226649714e+23
feature_6,1.1492399302593219e+24
feature_17,1.2339598862863515e+24
feature_8,2.0227224879797003e+24
