feature,mean_importance
feature_33,0.0
feature_30,0.0
feature_39,0.0
feature_38,0.0
feature_36,0.0
feature_25,0.0
feature_10,0.0
feature_24,0.0
feature_19,0.0
feature_15,0.0
feature_32,0.0
feature_28,5.551115123125783e-18
feature_27,5.551115123125783e-18
feature_23,5.551115123125783e-18
feature_35,5.551115123125783e-18
feature_18,5.551115123125783e-18
feature_21,5.551115123125783e-18
feature_14,5.551115123125783e-18
feature_13,5.551115123125783e-18
feature_12,5.551115123125783e-18
feature_8,5.551115123125783e-18
feature_37,5.551115123125783e-18
feature_16,5.551115123125783e-18
feature_40,1.1102230246251566e-17
feature_29,1.1102230246251566e-17
feature_31,1.1102230246251566e-17
feature_26,2.374135223717211e-05
feature_17,0.00012670512093657105
feature_20,0.00020661825948649904
feature_11,0.0005934735000692221
feature_9,0.0007953832778402753
feature_3,0.0018019741874276268
feature_41,0.011778764204303396
feature_22,0.012538406791868493
feature_4,0.037122851544230895
feature_7,0.05784723289788792
feature_1,0.1802503008780299
feature_5,0.3512363029874721
feature_6,0.572879785624496
