feature,mean_importance
feature_22,-0.0008559926826185768
feature_25,-0.0001473278391903865
feature_16,-3.477647477333895e-05
feature_33,0.0
feature_40,0.0
feature_20,0.0
feature_19,0.0
feature_29,0.0
feature_27,0.0
feature_13,0.0
feature_15,0.0
feature_11,0.0
feature_10,0.0
feature_30,0.0
feature_35,0.0
feature_31,0.0
feature_38,0.0
feature_39,0.0
feature_12,0.0
feature_28,0.0
feature_23,6.817009793542994e-06
feature_36,2.519233034362356e-05
feature_8,0.00010850521212396324
feature_32,0.00010980413655303916
feature_14,0.0001964432944687497
feature_24,0.0003280046591910335
feature_26,0.00038928327400709477
feature_21,0.0004948898963994183
feature_17,0.0006055595030677735
feature_18,0.0008128212358130174
feature_37,0.0008741567586607754
feature_9,0.007719489872787337
feature_41,0.030793274683788657
feature_3,0.07000879481291292
feature_5,0.08546873016724005
feature_4,0.17303609792608018
feature_6,0.33368890671109713
feature_7,0.5378216171658246
feature_1,0.7980090282003667
