feature,mean_importance
feature_15,-0.011981861024379403
feature_28,-0.009519926835354981
feature_39,-0.00034643435060467134
feature_12,-3.964598319872725e-05
feature_10,0.0
feature_38,0.0
feature_30,0.0
feature_35,0.0
feature_27,0.0
feature_33,0.0
feature_13,0.0
feature_23,0.0009237942365173557
feature_19,0.0011645459753424376
feature_40,0.0018260904349670592
feature_18,0.0027126150645548296
feature_16,0.004044804444057809
feature_21,0.006172230862781553
feature_31,0.006723726690386364
feature_17,0.007359754765142246
feature_32,0.007704718293936841
feature_25,0.012151389456763834
feature_8,0.012695231484662155
feature_24,0.013098695543097765
feature_36,0.014122405656653176
feature_37,0.014356212120165416
feature_11,0.019911808810683405
feature_14,0.0201009646859865
feature_29,0.023845118639084787
feature_26,0.02489917567914219
feature_9,0.02619214825531444
feature_22,0.029892310854372793
feature_41,0.031154512377070852
feature_20,0.04009861938413113
feature_4,0.05147653065062417
feature_3,0.0753040355713168
feature_5,0.1123288343018027
feature_7,0.14729038093039554
feature_6,0.15888728796774493
feature_1,0.5865620413002697
