feature,mean_importance
feature_21,0.0
feature_30,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_23,0.0
feature_40,0.0
feature_19,0.0
feature_18,0.0
feature_31,0.0
feature_16,0.0
feature_17,0.0
feature_14,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_15,0.0
feature_32,0.0
feature_10,0.0
feature_11,0.0
feature_12,0.0
feature_13,0.0
feature_33,0.0
feature_8,0.00024603875885877423
feature_20,0.0003843483879174492
feature_24,0.0005115276433446669
feature_22,0.0014315066237337083
feature_41,0.004066146583011243
feature_9,0.005588646296202482
feature_3,0.009715223756645363
feature_5,0.055238676322460045
feature_4,0.1468428539770032
feature_6,0.36729815225724843
feature_7,0.5315968427232118
feature_1,0.5934451178408066
