feature,weight
intercept,-2578678097.3042426
feature_1,-0.19702639376134096
feature_3,0.2553227755357549
feature_4,0.2345532419586066
feature_5,0.22603391060341138
feature_6,1063167682154.1626
feature_7,0.12424673172935097
feature_8,1429115808161.0525
feature_9,1182362393526.7576
feature_10,110468994517.673
feature_11,373703166726.1404
feature_12,89728078346.09044
feature_13,110468994517.65887
feature_14,273673275153.19296
feature_15,-59304073139.10872
feature_16,169058488432.60385
feature_17,1235392450966.8623
feature_18,342515618214.09216
feature_19,205362014881.87378
feature_20,247981973898.90903
feature_21,378330230110.5396
feature_22,202100130534.0183
feature_23,242811726069.71844
feature_24,191061411149.55634
feature_25,807441316642.5123
feature_26,1038442131776.4781
feature_27,252677322811.54944
feature_28,188612732026.83743
feature_29,326214743776.48413
feature_30,315708053261.92456
feature_31,481350391802.93036
feature_32,446986989166.9065
feature_33,36697587737.58041
feature_35,126475613924.45377
feature_36,395187006287.0281
feature_37,533289653223.63635
feature_38,159187794382.4214
feature_39,130023238111.77794
feature_40,258574744129.85767
feature_41,-0.4081213574895449
