feature,mean_importance
feature_26,-0.0007156768291512169
feature_39,-0.0005248058142714882
feature_9,-5.852308574447185e-06
feature_33,0.0
feature_28,0.0
feature_27,0.0
feature_31,0.0
feature_40,0.0
feature_20,0.0
feature_19,0.0
feature_32,0.0
feature_15,0.0
feature_16,0.0
feature_13,0.0
feature_12,0.0
feature_11,0.0
feature_10,0.0
feature_35,0.0
feature_38,0.0
feature_14,0.0
feature_30,0.0
feature_24,7.431520921852286e-06
feature_29,1.5084400722457925e-05
feature_23,2.7895461724172788e-05
feature_36,5.025823886919551e-05
feature_18,0.0003245018242926861
feature_37,0.0004044777055352097
feature_8,0.002484681010368106
feature_25,0.0035966489230752296
feature_17,0.0037867608636644066
feature_22,0.005474066920594439
feature_21,0.006162672258625238
feature_1,0.03261653339440235
feature_3,0.03746481510208256
feature_7,0.0926161839937759
feature_6,0.14089046657835652
feature_4,0.18179126294973713
feature_5,0.33494212904087883
feature_41,0.48126533568796237
