feature,shap_importance
feature_5,0.27878606
feature_41,0.20572338
feature_6,0.097298875
feature_4,0.09009198
feature_7,0.06120388
feature_1,0.060267936
feature_3,0.055128086
feature_17,0.017138155
feature_22,0.011906482
feature_37,0.0036551324
feature_8,0.0032138694
feature_26,0.0031265714
feature_21,0.0024921412
feature_25,0.001985929
feature_18,0.0014080973
feature_36,0.0012886894
feature_39,0.0009094281
feature_30,0.0009012296
feature_9,0.0006176239
feature_23,0.00054957916
feature_24,0.00020417396
feature_27,0.0001410034
feature_29,0.00012106006
feature_13,6.306727e-05
feature_38,5.62262e-05
feature_31,2.9606823e-05
feature_10,6.66707e-06
feature_19,2.583739e-06
feature_33,0.0
feature_40,0.0
feature_35,0.0
feature_15,0.0
feature_32,0.0
feature_16,0.0
feature_11,0.0
feature_12,0.0
feature_20,0.0
feature_14,0.0
feature_28,0.0
