feature,mean_importance
feature_7,-0.018120218134865383
feature_15,-0.008265560252916849
feature_31,-0.00446222521810753
feature_25,-0.002983666184208611
feature_19,-3.732589289889843e-05
feature_27,0.0
feature_30,0.0
feature_10,0.0
feature_13,0.0
feature_35,0.0
feature_38,0.0
feature_33,0.0
feature_39,0.0003401774075011077
feature_40,0.0004616779282297867
feature_36,0.0005010216525038969
feature_16,0.000979579231076544
feature_23,0.0009989645126412317
feature_12,0.0012137420356086893
feature_20,0.0021613591782756623
feature_18,0.002312898984784173
feature_24,0.00238810311343981
feature_37,0.006358923744482714
feature_21,0.0073662907559485236
feature_17,0.00826796154283429
feature_1,0.009528435197808226
feature_11,0.01484621551258265
feature_8,0.02063842359403406
feature_32,0.02365194030892954
feature_9,0.02555976012551322
feature_22,0.03473299809686361
feature_3,0.05474144037505402
feature_14,0.06178189224348807
feature_26,0.07909875825137877
feature_4,0.08451911913815165
feature_28,0.09338432539492986
feature_5,0.0979505008766792
feature_6,0.09814757752389708
feature_29,0.2680725151490999
feature_41,0.4538136488888741
