feature,shap_importance
feature_8,684350124861.4213
feature_9,505363807685.9175
feature_6,489729435051.4979
feature_17,481245903856.37537
feature_26,229653332280.02423
feature_25,175926526129.71973
feature_32,98923914542.49187
feature_20,86247021567.46669
feature_11,82266695684.14668
feature_31,72749596977.06923
feature_37,69769114899.16168
feature_14,61762770298.594604
feature_36,44981812145.768654
feature_22,40775133975.0857
feature_18,36385490497.103355
feature_21,32630769633.977417
feature_29,31825354274.397774
feature_23,20096483253.747902
feature_40,16835885638.243402
feature_30,16724448446.666376
feature_24,15530966963.112665
feature_19,12815148741.521349
feature_28,10639178293.516249
feature_27,10107455534.916975
feature_16,9536171716.193384
feature_39,7334289672.319587
feature_12,5842224346.60677
feature_38,5512632165.260368
feature_15,3551104389.4863176
feature_10,3122390229.5496745
feature_13,3122390229.547875
feature_35,2526863883.729285
feature_33,733183308.5976382
feature_1,0.39536756977411847
feature_4,0.25537567274188977
feature_5,0.22938969852710642
feature_7,0.2228592046081977
feature_3,0.07813203165720098
feature_41,0.01920329817712096
