feature,shap_importance
feature_1,0.38265082
feature_6,0.28595203
feature_5,0.26936343
feature_7,0.15895115
feature_3,0.062108472
feature_4,0.035165556
feature_22,0.03437015
feature_9,0.028600376
feature_41,0.02784418
feature_17,0.02651755
feature_8,0.012473065
feature_18,0.0043603117
feature_14,0.0029988738
feature_32,0.0017406008
feature_11,0.001228266
feature_31,0.0010093044
feature_38,0.0008131265
feature_23,0.0006492184
feature_12,0.000399791
feature_19,0.00039884384
feature_25,0.00028242538
feature_26,0.00024829063
feature_37,0.0001669799
feature_40,0.00014246209
feature_24,0.00010333561
feature_13,0.00010307363
feature_30,9.311144e-05
feature_33,7.594369e-05
feature_39,6.929194e-05
feature_35,6.606585e-05
feature_21,5.6564782e-05
feature_36,2.9023922e-05
feature_10,2.5283984e-05
feature_29,2.4325305e-05
feature_27,8.068659e-07
feature_16,0.0
feature_28,0.0
feature_20,0.0
feature_15,0.0
