algos,mean_absolute_error_test_medae,mean_absolute_error_test_medape,mean_absolute_error_test_rmse,mean_absolute_error_train_medae,mean_absolute_error_train_medape,mean_absolute_error_train_rmse,mean_squared_error_test_medae,mean_squared_error_test_medape,mean_squared_error_test_rmse,mean_squared_error_train_medae,mean_squared_error_train_medape,mean_squared_error_train_rmse,median_absolute_error_test_medae,median_absolute_error_test_medape,median_absolute_error_test_rmse,median_absolute_error_train_medae,median_absolute_error_train_medape,median_absolute_error_train_rmse,r2_test_medae,r2_test_medape,r2_test_rmse,r2_train_medae,r2_train_medape,r2_train_rmse,root_mean_squared_error_test_medae,root_mean_squared_error_test_medape,root_mean_squared_error_test_rmse,root_mean_squared_error_train_medae,root_mean_squared_error_train_medape,root_mean_squared_error_train_rmse
npb_ep,0.0326013982668798,4.021811032410793,0.23053108585200344,0.014212739414404596,1.6074876697931364,0.2172102075529646,0.026956273395732467,2.943498684951407,0.22952507573220274,0.0025129794817266276,0.2657623918712817,0.21024337922971625,0.03153451875521723,3.906882216275193,0.22966512422464969,0.014371956838356362,1.5086079891235533,0.21626906827181736,0.026956273395732467,2.943498684951407,0.22952507573220274,0.0025129794817266276,0.2657623918712817,0.21024337922971625,0.026956273395732467,2.943498684951407,0.22952507573220274,0.0025129794817266276,0.2657623918712817,0.21024337922971625
npb_mg,0.04143862391070463,2.0966164379777594,0.34533268238128534,0.031968703157288225,1.7656391946255994,0.1533614331001872,0.13442187885257575,8.116862872681125,0.3783803701364594,0.0828150287758751,5.628928348198281,0.2050870939329725,0.04696442674460574,2.126568002213985,0.35490141362795263,0.0387025671160004,2.411216417891307,0.15727192201701765,0.13442187885257575,8.116862872681125,0.3783803701364594,0.0828150287758751,5.628928348198281,0.2050870939329725,0.13442187885257575,8.116862872681125,0.3783803701364594,0.0828150287758751,5.628928348198281,0.2050870939329725
npb_sp,0.08483974664827759,8.548625703933215,0.4189347924663594,0.019325980806696563,1.6306362693873773,0.2768356523884434,0.09776781537073892,8.473722830040836,0.3647915791808203,0.04682029562128964,3.4539218640420843,0.2889315904651225,0.08414294794637006,8.437605246908795,0.5500097737786444,0.06143191299312778,5.251292604504723,0.42026412514962286,0.09776781537073892,8.473722830040836,0.3647915791808203,0.04682029562128964,3.4539218640420843,0.2889315904651225,0.09776781537073892,8.473722830040836,0.3647915791808203,0.04682029562128964,3.4539218640420843,0.2889315904651225
npb_sp-mz,0.04351131332053154,4.096053507728364,0.17483748891975237,0.037240839320858324,3.1419792842369603,0.20657939962694138,0.07295462723644063,4.809487316393015,0.20786660750086136,0.04244839508884202,4.074949061227586,0.2238195680391748,0.07637905388153979,6.222324036734376,0.15430998588287342,0.0568915654578219,5.17238849236177,0.3096895143093611,0.07295462723644063,4.809487316393015,0.20786660750086136,0.04244839508884202,4.074949061227586,0.2238195680391748,0.07295462723644063,4.809487316393015,0.20786660750086136,0.04244839508884202,4.074949061227586,0.2238195680391748
matmul,0.0059416295085835125,0.47958388771683214,0.02636827549187278,1.3956448191576598e-08,2.1475240884977597e-06,0.02269634528428064,0.0059416295085835125,0.47958388771683214,0.02636827549187278,1.3956448191576598e-08,2.1475240884977597e-06,0.02269634528428064,0.007004718153601319,0.5376725676724321,0.026789599486133082,0.0019429283535606912,0.25344916277930735,0.024027984559360106,0.0059416295085835125,0.47958388771683214,0.02636827549187278,1.3956448191576598e-08,2.1475240884977597e-06,0.02269634528428064,0.0059416295085835125,0.47958388771683214,0.02636827549187278,1.3956448191576598e-08,2.1475240884977597e-06,0.02269634528428064
montecarlo,0.024003001375104888,7.589608121959377,0.08255630493882789,0.006224564763839757,2.6742660463580235,0.12549534815443472,0.02267143547346781,7.3913440337767895,0.081191900456155,0.006365549453442865,2.5995356921384793,0.12410701211097498,0.014815899927663079,5.7579221181538305,0.07147756039895481,0.004259081572638934,1.6719775907102932,0.11571318891343052,0.02267143547346781,7.3913440337767895,0.081191900456155,0.006365549453442865,2.5995356921384793,0.12410701211097498,0.02267143547346781,7.3913440337767895,0.081191900456155,0.006365549453442865,2.5995356921384793,0.12410701211097498
quicksort,0.015683075168595573,0.918947800824341,0.16844367998237195,0.00905033488134023,0.416989125518587,0.06307920358606875,0.016052653768525382,0.9048448846068711,0.16768770376518455,0.0090752905676319,0.4074130143395429,0.06205280883757895,0.016078641371118745,0.8697579896470415,0.16435127118511514,0.007129442955647672,0.31823155505654377,0.05707208582383326,0.016052653768525382,0.9048448846068711,0.16768770376518455,0.0090752905676319,0.4074130143395429,0.06205280883757895,0.016052653768525382,0.9048448846068711,0.16768770376518455,0.0090752905676319,0.4074130143395429,0.06205280883757895
SPEC_INT_600.perlbench_s,0.10426588880693649,2.6446530863181055,0.6417041967369294,0.08843144915592072,2.1249485746230397,0.4934457041202531,0.05961348577714187,1.3927766826882917,0.43565582685035176,0.04471507185213175,1.0599514881029402,0.29877664565379836,0.10964740861380343,2.6360298096406662,0.641006047684147,0.08919158635955296,2.1539436862151455,0.49430578979431666,0.05961348577714187,1.3927766826882917,0.43565582685035176,0.04471507185213175,1.0599514881029402,0.29877664565379836,0.10343353746585504,2.647046114613019,0.6425840761299778,0.0889889398409398,2.130046954794868,0.49280051837755245
SPEC_INT_602.gcc_s,0.12414910497531573,2.8084120264402173,0.40491822148555184,0.11947519044517868,2.6399785592533678,0.48839467851063845,0.12492056789264361,2.795748094877535,0.40642434590258275,0.11917527582988033,2.658380539750014,0.48791988946225495,0.12414910497531573,2.8084120264402173,0.40491822148555184,0.11947519044517868,2.6399785592533678,0.48839467851063845,0.12492056789264361,2.795748094877535,0.40642434590258275,0.11917527582988033,2.658380539750014,0.48791988946225495,0.12492056789264361,2.795748094877535,0.40642434590258275,0.11917527582988033,2.658380539750014,0.48791988946225495
SPEC_INT_605.mcf_s,0.10001342166971768,3.271824397948471,0.5035584931259421,0.09332340043017623,3.0391394686483544,0.3513146522150818,0.0809027467665074,2.6587636065204996,0.4507426544392861,0.06047582297485665,1.9955604324716343,0.2666386466307386,0.09955698251592983,3.25350409067282,0.5081676714248001,0.0886138750434945,3.031603502427025,0.34985678372271206,0.0809027467665074,2.6587636065204996,0.4507426544392861,0.06047582297485665,1.9955604324716343,0.2666386466307386,0.09936143293069935,3.2349194812144733,0.5049915512516079,0.09277768729922647,3.0207786285146367,0.35069627271392734
SPEC_INT_620.omnetpp_s,0.14779663633169088,5.504833690134116,0.4538588898248478,0.146824491795141,5.071950183054536,0.44138085804434923,0.15349896594214313,5.620301221176782,0.45150573211223,0.14977616605438615,5.130767534673156,0.4441107657356612,0.15349896594214313,5.620301221176782,0.45150573211223,0.14977616605438615,5.130767534673156,0.4441107657356612,0.15349896594214313,5.620301221176782,0.45150573211223,0.14977616605438615,5.130767534673156,0.4441107657356612,0.15349896594214313,5.620301221176782,0.45150573211223,0.14977616605438615,5.130767534673156,0.4441107657356612
SPEC_INT_623.xalancbmk_s,0.1112430692501532,3.2074396045275924,0.5349968422964754,0.09411523043135694,2.658551605818394,0.41104141333461414,0.06499212323036385,1.7629208416886093,0.37785883872871906,0.053111073811894505,1.4292392737491804,0.28511795450264177,0.1112430692501532,3.2074396045275924,0.5349968422964754,0.09411523043135694,2.658551605818394,0.41104141333461414,0.1112430692501532,3.2074396045275924,0.5349968422964754,0.09411523043135694,2.658551605818394,0.41104141333461414,0.1112430692501532,3.2074396045275924,0.5349968422964754,0.09411523043135694,2.658551605818394,0.41104141333461414
SPEC_INT_625.x264_s,0.06687263291107426,3.4135682700046575,0.3083084798992582,0.058688430849660356,2.8523440286385138,0.8136173723339588,0.06687263291107426,3.4135682700046575,0.3083084798992582,0.058688430849660356,2.8523440286385138,0.8136173723339588,0.07332700760852712,3.4233398463779974,0.3034295425269214,0.06350935631164983,2.934862241824369,0.8169226314794215,0.06687263291107426,3.4135682700046575,0.3083084798992582,0.058688430849660356,2.8523440286385138,0.8136173723339588,0.06687263291107426,3.4135682700046575,0.3083084798992582,0.058688430849660356,2.8523440286385138,0.8136173723339588
SPEC_INT_631.deepsjeng_s,0.08476109220616398,2.270566350660921,0.3980937648469241,0.07298605987687817,1.8993895253524646,0.707505279060675,0.08476109220616398,2.270566350660921,0.3980937648469241,0.07298605987687817,1.8993895253524646,0.707505279060675,0.08385365228240296,2.2612083541980654,0.3965470164161434,0.07230857728455131,1.9047274624403376,0.7080105843340088,0.08476109220616398,2.270566350660921,0.3980937648469241,0.07298605987687817,1.8993895253524646,0.707505279060675,0.08476109220616398,2.270566350660921,0.3980937648469241,0.07298605987687817,1.8993895253524646,0.707505279060675
SPEC_INT_641.leela_s,0.1101033779550672,2.3495335856514474,0.5204037788831257,0.0886646408564643,1.9576142544844466,0.3859755355251636,0.1101033779550672,2.3495335856514474,0.5204037788831257,0.0886646408564643,1.9576142544844466,0.3859755355251636,0.10532408735384001,2.3286274137535523,0.509129929564055,0.09224450879085591,2.055290026346061,0.40408396264273216,0.1101033779550672,2.3495335856514474,0.5204037788831257,0.0886646408564643,1.9576142544844466,0.3859755355251636,0.1101033779550672,2.3495335856514474,0.5204037788831257,0.0886646408564643,1.9576142544844466,0.3859755355251636
SPEC_INT_648.exchange2_s,0.11544259495673798,3.4043520563425154,0.46501351777652855,0.0963541891744494,2.878132352318588,0.3678298224389129,0.11544259495673798,3.4043520563425154,0.46501351777652855,0.0963541891744494,2.878132352318588,0.3678298224389129,0.10162743563320661,2.9242824896301602,0.4825158617009521,0.10185827957564686,3.1143313209302104,0.44203161572067395,0.11544259495673798,3.4043520563425154,0.46501351777652855,0.0963541891744494,2.878132352318588,0.3678298224389129,0.11544259495673798,3.4043520563425154,0.46501351777652855,0.0963541891744494,2.878132352318588,0.3678298224389129
SPEC_INT_657.xz_s,0.07165611138706496,3.1752727190212426,0.7407017165163381,0.06334568975164201,2.8581233551132947,0.5203130801490314,0.07457808749480588,3.380827735088885,0.7302181281266592,0.06349309574059459,2.937860428135157,0.5044362356989412,0.06701427232921109,2.9898804202696345,0.7876311342681469,0.0672505932189178,3.049763865156008,0.5817688010589483,0.07457808749480588,3.380827735088885,0.7302181281266592,0.06349309574059459,2.937860428135157,0.5044362356989412,0.07457808749480588,3.380827735088885,0.7302181281266592,0.06349309574059459,2.937860428135157,0.5044362356989412
SPEC_INT_401.bzip2,0.11751241956488312,4.111951736090456,0.3071323294610572,0.1108142189210739,4.069703594791043,0.26576631628081504,0.11751241956488312,4.111951736090456,0.3071323294610572,0.1108142189210739,4.069703594791043,0.26576631628081504,0.11751241956488312,4.111951736090456,0.3071323294610572,0.1108142189210739,4.069703594791043,0.26576631628081504,0.11751241956488312,4.111951736090456,0.3071323294610572,0.1108142189210739,4.069703594791043,0.26576631628081504,0.11751241956488312,4.111951736090456,0.3071323294610572,0.1108142189210739,4.069703594791043,0.26576631628081504
SPEC_INT_456.hmmer,0.07921465458979748,7.701330297904413,0.3505408836281231,0.08250013622500463,7.565399755720824,0.34181019958100917,0.07921465458979748,7.701330297904413,0.3505408836281231,0.08250013622500463,7.565399755720824,0.34181019958100917,0.07921465458979748,7.701330297904413,0.3505408836281231,0.08250013622500463,7.565399755720824,0.34181019958100917,0.07921465458979748,7.701330297904413,0.3505408836281231,0.08250013622500463,7.565399755720824,0.34181019958100917,0.07921465458979748,7.701330297904413,0.3505408836281231,0.08250013622500463,7.565399755720824,0.34181019958100917
